identifier,incident,start date,end date,number of deaths,state,start_month,end_month
IBD030269,Auto Crash,2024-07-18,2024-07-18,2,Kwara,7,7
IBD030271,Gunmen Vs Policeman,2024-07-18,2024-07-18,1,Edo,7,7
IBD030315,Flood Disaster,2024-07-18,2024-07-20,1,Ebonyi,7,7
IBD030274,Gunmen Kill Soldier,2024-07-17,2024-07-17,1,Plateau,7,7
IBD030272,Man Vs Grandfather,2024-07-17,2024-07-17,1,Borno,7,7
IBD030273,Woman Vs Husband,2024-07-17,2024-07-17,1,Borno,7,7
IBD030309,Witchcraft,2024-07-17,2024-07-17,3,Adamawa,7,7
IBD030327,Gunmen Attack,2024-07-17,2024-07-17,6,Benue,7,7
IBD030260,Inferno,2024-07-17,2024-07-17,3,Kano,7,7
IBD030378,Kidnap Victim,2024-07-16,2024-07-16,1,Ekiti,7,7
IBD030219,Kidnappers Vs Passenger,2024-07-16,2024-07-16,2,Ondo,7,7
IBD030278,Hunters Vs Bandits,2024-07-16,2024-07-16,1,Kaduna,7,7
IBD030267,Man Kills Rival,2024-07-16,2024-07-16,2,Delta,7,7
IBD030266,Bandits Attack,2024-07-16,2024-07-16,1,Kaduna,7,7
IBD030301,Banditry,2024-07-16,2024-07-16,11,Zamfara,7,7
IBD030265,Bandits Vs Chief,2024-07-16,2024-07-16,1,Kaduna,7,7
IBD030261,Motorcyclist,2024-07-16,2024-07-16,1,Delta,7,7
IBD030275,Brothers Drown,2024-07-16,2024-07-16,1,Abuja,7,7
IBD030254,Inferno In The Hotel,2024-07-16,2024-07-16,3,Edo,7,7
IBD030603,Electrocution,2024-07-16,2024-07-16,1,Kwara,7,7
IBD030433,Cult Clash,2024-07-15,2024-07-15,8,Osun,7,7
IBD030257,Herdsmen Vs Rustler,2024-07-15,2024-07-15,1,Abuja,7,7
IBD030279,Assailant Kill 2,2024-07-15,2024-07-15,2,Osun,7,7
IBD030256,Gunmen Vs Farmer,2024-07-15,2024-07-15,1,Kaduna,7,7
IBD030300,Banditry,2024-07-15,2024-07-15,10,Zamfara,7,7
IBD030258,Youths Vs Students,2024-07-15,2024-07-15,1,Bayelsa,7,7
IBD030252,Auto Crash,2024-07-15,2024-07-15,14,Jigawa,7,7
IBD030223,Cult Clash,2024-07-15,2024-07-15,1,Edo,7,7
IBD030259,Assailants Vs Activist,2024-07-14,2024-07-14,1,Edo,7,7
IBD030247,Herders Attack,2024-07-14,2024-07-14,11,Benue,7,7
IBD030249,Auto Crash,2024-07-14,2024-07-14,2,Abuja,7,7
IBD030251,Banditry,2024-07-14,2024-07-14,13,Zamfara,7,7
IBD030264,Piracy Offshore,2024-07-14,2024-07-14,1,Rivers,7,7
IBD030248,Herders Attack,2024-07-14,2024-07-14,1,Benue,7,7
IBD030245,Man Vs Neighbours Wife,2024-07-13,2024-07-13,1,Edo,7,7
IBD030298,Banditry,2024-07-13,2024-07-13,1,Zamfara,7,7
IBD030243,Robbers Vs Police,2024-07-13,2024-07-13,1,Abuja,7,7
IBD030244,Maize Farmer,2024-07-13,2024-07-13,1,Ogun,7,7
IBD030238,Kidnap Victims,2024-07-13,2024-07-13,1,Anambra,7,7
IBD030246,Auto Crash,2024-07-13,2024-07-13,2,Ogun,7,7
IBD030263,Hoodlums Vs Ndlea Official,2024-07-13,2024-07-13,1,Abuja,7,7
IBD030220,Smugglers Vs Customs Officer,2024-07-12,2024-07-12,1,Jigawa,7,7
IBD030233,Naf Vs Terrorists,2024-07-12,2024-07-12,20,Kaduna,7,7
IBD030216,Witchcraft Suspect,2024-07-12,2024-07-12,1,Kwara,7,7
IBD030235,Armed Robber,2024-07-12,2024-07-12,1,Cross River,7,7
IBD030277,Hoodlums Vs Vigilante,2024-07-12,2024-07-12,1,Lagos,7,7
IBD030296,Banditry,2024-07-12,2024-07-12,11,Zamfara,7,7
IBD030178,Missing Student,2024-07-12,2024-07-12,1,Enugu,7,7
IBD030189,Robbers Kill Security Guard,2024-07-12,2024-07-12,1,Akwa Ibom,7,7
IBD030439,Cult Killing,2024-07-12,2024-07-12,3,Anambra,7,7
IBD030221,Building Collapse,2024-07-12,2024-07-12,19,Plateau,7,7
IBD030255,Building Collapse,2024-07-12,2024-07-13,1,Abuja,7,7
IBD030232,Naf Vs Terrorists,2024-07-12,2024-07-12,20,Kaduna,7,7
IBD030312,Man Vs Commercial Motorcyclist,2024-07-11,2024-07-11,1,Akwa Ibom,7,7
IBD030222,Dead Corpse,2024-07-11,2024-07-11,1,Lagos,7,7
IBD030241,Guardian Vs Boy,2024-07-11,2024-07-11,1,Lagos,7,7
IBD030214,Miners,2024-07-10,2024-07-10,12,Niger,7,7
IBD030434,Cult Clash,2024-07-10,2024-07-10,1,Lagos,7,7
IBD030213,Gunmen Vs Vigilante,2024-07-10,2024-07-10,1,Rivers,7,7
IBD030212,Assailants Vs Student,2024-07-10,2024-07-10,1,Enugu,7,7
IBD030262,Gunrunners Vs Police,2024-07-10,2024-07-10,1,Plateau,7,7
IBD030217,Bandits Kill Farmers,2024-07-10,2024-07-10,2,Kaduna,7,7
IBD030250,Gunmen Attack,2024-07-10,2024-07-11,5,Benue,7,7
IBD030324,Man Vs Ndlea Officer,2024-07-10,2024-07-10,1,Kano,7,7
IBD030205,Herdsmen Vs Farmer,2024-07-09,2024-07-09,1,Delta,7,7
IBD030209,Herdsmen Attack,2024-07-09,2024-07-09,12,Benue,7,7
IBD030208,Army Vs Terrorist,2024-07-09,2024-07-09,1,Katsina,7,7
IBD030330,Ritual Killing,2024-07-09,2024-07-09,1,Osun,7,7
IBD030276,Man Vs Girlfriend,2024-07-09,2024-07-09,1,Lagos,7,7
IBD030303,3 Men Kill Labourer,2024-07-09,2024-07-09,1,Kwara,7,7
IBD030199,Auto Crash,2024-07-09,2024-07-09,5,Anambra,7,7
IBD030206,Man Vs Mother,2024-07-09,2024-07-09,1,Delta,7,7
IBD030180,Downpour Kills 4,2024-07-08,2024-07-08,4,Edo,7,7
IBD030201,Police Vs Kidnapper,2024-07-08,2024-07-08,1,Delta,7,7
IBD030203,Assailant Vs Man,2024-07-08,2024-07-08,1,Edo,7,7
IBD030242,Soldiers Vs Boko Haram,2024-07-08,2024-07-08,2,Borno,7,7
IBD030253,Auto Crash,2024-07-08,2024-07-08,2,Ogun,7,7
IBD030198,Banditry,2024-07-08,2024-07-08,3,Plateau,7,7
IBD030294,Banditry,2024-07-08,2024-07-08,1,Zamfara,7,7
IBD030191,Auto Crash,2024-07-08,2024-07-08,1,Lagos,7,7
IBD030185,Gunmen Kill 4,2024-07-08,2024-07-08,4,Imo,7,7
IBD030207,Army Vs Kidnapper,2024-07-08,2024-07-08,1,Taraba,7,7
IBD030182,Cult Killing,2024-07-07,2024-07-07,1,Akwa Ibom,7,7
IBD030215,Vigilantes Vs Bandits,2024-07-07,2024-07-07,2,Unknown,7,7
IBD030186,Cult Killing,2024-07-07,2024-07-07,1,Anambra,7,7
IBD030183,Boat Mishap,2024-07-07,2024-07-07,2,Jigawa,7,7
IBD030204,Bandits Kill 2,2024-07-07,2024-07-07,3,Kaduna,7,7
IBD030290,Man Vs Online Girlfriend,2024-07-07,2024-07-07,1,Oyo,7,7
IBD030435,Cult Clash,2024-07-07,2024-07-07,9,Lagos,7,7
IBD030181,Security Operatives Vs Man,2024-07-07,2024-07-07,1,Abia,7,7
IBD030184,Cult Killing,2024-07-07,2024-07-07,1,Anambra,7,7
IBD030202,Cult Clash,2024-07-07,2024-07-07,1,Oyo,7,7
IBD030438,Cult Clash,2024-07-07,2024-07-07,7,Rivers,7,7
IBD030289,Ipob Esn Vs Vigilante,2024-07-07,2024-07-07,4,Imo,7,7
IBD030179,Cult Killing,2024-07-07,2024-07-07,2,Lagos,7,7
IBD030197,Hoodlums Vs Man,2024-07-07,2024-07-07,6,Edo,7,7
IBD030195,Tractor Driver,2024-07-07,2024-07-07,1,Yobe,7,7
IBD030187,Cult Killing,2024-07-07,2024-07-07,4,Imo,7,7
IBD030190,Man Kills Woman,2024-07-07,2024-07-07,1,Bauchi,7,7
IBD030436,Cult Killing,2024-07-06,2024-07-06,3,Lagos,7,7
IBD030175,Engine Roller Kill Worker,2024-07-06,2024-07-06,1,Ogun,7,7
IBD030177,Youths Vs Kidnappers,2024-07-06,2024-07-06,2,Kwara,7,7
IBD030170,Gas Explosion,2024-07-06,2024-07-06,2,Ogun,7,7
IBD030176,Gunmen Kill 3,2024-07-06,2024-07-06,3,Benue,7,7
IBD030268,Hoodlums Vs Man,2024-07-06,2024-07-06,1,Lagos,7,7
IBD030174,Extra Judicial Killing,2024-07-06,2024-07-06,1,Ogun,7,7
IBD030194,Domestic Violence,2024-07-06,2024-07-06,1,Abuja,7,7
IBD030167,Robbers Kill Woman,2024-07-06,2024-07-06,1,Ekiti,7,7
IBD030171,Boko Haram Vs Army,2024-07-06,2024-07-06,11,Borno,7,7
IBD030192,Banditry,2024-07-06,2024-07-06,1,Katsina,7,7
IBD030218,Huter Vs Trader,2024-07-05,2024-07-05,1,Kwara,7,7
IBD030270,Man Vs Apprentice,2024-07-05,2024-07-05,1,Lagos,7,7
IBD030173,Police Vs Kidnappers,2024-07-05,2024-07-05,1,Delta,7,7
IBD030166,Man Vs Friend,2024-07-04,2024-07-04,2,Osun,7,7
IBD030165,Kidnappers Vs Police,2024-07-04,2024-07-04,9,Lagos,7,7
IBD030196,Corpse Found,2024-07-04,2024-07-04,1,Abuja,7,7
IBD030155,Cultists Vs Final Year Student,2024-07-04,2024-07-04,1,Ogun,7,7
IBD030292,Robbers Vs Man,2024-07-04,2024-07-04,2,Oyo,7,7
IBD030200,Bandits Vs Army,2024-07-04,2024-07-04,5,Kaduna,7,7
IBD030162,Building Collapse,2024-07-04,2024-07-04,8,Anambra,7,7
IBD030159,Student Stabs Colleague,2024-07-03,2024-07-03,1,Gombe,7,7
IBD030149,Flooding,2024-07-03,2024-07-03,1,Lagos,7,7
IBD030144,Man Vs Father,2024-07-03,2024-07-03,1,Delta,7,7
IBD030156,Building Collapse,2024-07-03,2024-07-03,1,Lagos,7,7
IBD030164,Assailants Vs Ex Convict,2024-07-03,2024-07-03,1,Ogun,7,7
IBD030150,Community Leader,2024-07-03,2024-07-03,1,Delta,7,7
IBD030145,Auto Crash,2024-07-03,2024-07-03,1,Oyo,7,7
IBD030157,Army Vs Boko Haram,2024-07-03,2024-07-03,10,Borno,7,7
IBD030940,Assailant Vs Lady,2024-07-03,2024-07-03,1,Ogun,7,7
IBD030158,Lightening,2024-07-02,2024-07-02,2,Delta,7,7
IBD030147,Farmers Vs Herders,2024-07-02,2024-07-02,2,Jigawa,7,7
IBD030141,Banditry,2024-07-02,2024-07-02,1,Kaduna,7,7
IBD030224,Domestic Violence,2024-07-02,2024-07-02,1,Kebbi,7,7
IBD030139,Kidnap Victim,2024-07-02,2024-07-02,1,Kaduna,7,7
IBD030135,Bandits Kill Lecturer,2024-07-02,2024-07-02,1,Katsina,7,7
IBD030161,Soldiers Kill 2 Terrorists,2024-07-02,2024-07-02,2,Kaduna,7,7
IBD030153,Fulani Herders Attack,2024-07-01,2024-07-01,2,Benue,7,7
IBD030136,Work Related Violence,2024-07-01,2024-07-01,1,Oyo,7,7
IBD030143,Cult Clash,2024-07-01,2024-07-01,9,Benue,7,7
IBD030133,Banditry,2024-07-01,2024-07-01,4,Kaduna,7,7
IBD030134,Auto Crash,2024-07-01,2024-07-01,2,Ogun,7,7
IBD030123,Auto Crash,2024-07-01,2024-07-01,25,Kano,7,7
IBD030154,Gunmen Attack,2024-07-01,2024-07-01,1,Benue,7,7
IBD030138,Kidnap Victim,2024-07-01,2024-07-01,5,Katsina,7,7
IBD030152,Gunmen Attack,2024-07-01,2024-07-01,3,Benue,7,7
IBD030118,Auto Crash,2024-06-30,2024-06-30,11,Abuja,6,6
IBD030114,Boy Kill Friend,2024-06-30,2024-06-30,1,Niger,6,6
IBD030146,Police Vs Kidnappers,2024-06-30,2024-06-30,2,Ogun,6,6
IBD030113,Bandits Vs Policemen,2024-06-30,2024-06-30,5,Katsina,6,6
IBD031964,Farmer Vs Herder,2024-06-30,2024-06-30,1,Adamawa,6,6
IBD030129,Auto Crash,2024-06-30,2024-06-30,1,Ogun,6,6
IBD030119,Flooding,2024-06-30,2024-06-30,3,Yobe,6,6
IBD030127,Police Vs Bandits,2024-06-30,2024-06-30,2,Benue,6,6
IBD030115,Auto Crash,2024-06-30,2024-06-30,2,Niger,6,6
IBD030116,Police Vs Kidnappers,2024-06-30,2024-06-30,2,Akwa Ibom,6,6
IBD030137,Auto Crash,2024-06-30,2024-06-30,1,Borno,6,6
IBD030121,Banditry,2024-06-30,2024-06-30,1,Abuja,6,6
IBD030111,Drug Addict,2024-06-29,2024-06-29,1,Oyo,6,6
IBD030117,Farmers Vs Herders,2024-06-29,2024-06-29,8,Jigawa,6,6
IBD030122,Naf Vs Terrorists,2024-06-29,2024-06-29,10,Niger,6,6
IBD030108,Boko Haram Suicide Attacks,2024-06-29,2024-06-29,32,Borno,6,6
IBD030109,Auto Crash,2024-06-29,2024-06-29,1,Lagos,6,6
IBD030120,Naf Vs Terrorists,2024-06-29,2024-06-29,40,Niger,6,6
IBD030112,Corpse Found,2024-06-29,2024-06-29,1,Lagos,6,6
IBD030110,Hoodlums Attack,2024-06-29,2024-06-29,2,Kano,6,6
IBD030172,Woman Murdered,2024-06-29,2024-06-29,1,Ogun,6,6
IBD030105,Electrocution,2024-06-28,2024-06-28,1,Enugu,6,6
IBD030283,Dss Vs Kidnapper,2024-06-28,2024-06-28,1,Kaduna,6,6
IBD030126,Security Operatives Kill Herder,2024-06-28,2024-06-28,1,Plateau,6,6
IBD029930,Gunmen Vs Policemen,2024-06-28,2024-06-28,2,Abia,6,6
IBD030131,Banditry,2024-06-28,2024-06-28,11,Katsina,6,6
IBD030102,Auto Crash,2024-06-28,2024-06-28,14,Kano,6,6
IBD030107,Building Collapse,2024-06-27,2024-06-27,7,Kano,6,6
IBD030101,Troops Kill Terrorists,2024-06-27,2024-06-27,5,Sokoto,6,6
IBD030106,Gunmen Attack,2024-06-27,2024-06-27,3,Taraba,6,6
IBD030104,Gunmen Vs Traders,2024-06-27,2024-06-27,6,Imo,6,6
IBD030287,Mob Kill Mentally Challenged Man,2024-06-27,2024-06-27,1,Oyo,6,6
IBD030128,Electrocution,2024-06-27,2024-06-27,1,Ogun,6,6
IBD030125,Farmers Vs Herders,2024-06-27,2024-06-27,1,Ogun,6,6
IBD030098,Police Vs Gunmen,2024-06-26,2024-06-26,5,Ebonyi,6,6
IBD030099,Ritual Killing,2024-06-26,2024-06-26,1,Ogun,6,6
IBD030211,Ex Boyfriend Vs Lady,2024-06-26,2024-06-26,1,Kano,6,6
IBD030089,Explosion,2024-06-25,2024-06-25,1,Rivers,6,6
IBD030091,Students Drown,2024-06-25,2024-06-25,7,Kaduna,6,6
IBD030094,Bandits Vs Vigilantes,2024-06-25,2024-06-25,3,Kaduna,6,6
IBD030103,Assailants Kill 2,2024-06-25,2024-06-25,2,Bauchi,6,6
IBD030096,Wife Vs Husband,2024-06-25,2024-06-25,1,Yobe,6,6
IBD030085,Rape Victim,2024-06-25,2024-06-25,1,Ebonyi,6,6
IBD030084,Communal Clash,2024-06-25,2024-06-25,6,Nasarawa,6,6
IBD030076,Bandits Kill Lecture,2024-06-24,2024-06-24,1,Zamfara,6,6
IBD030077,Flood Incident,2024-06-24,2024-06-24,1,Ogun,6,6
IBD029957,Auto Crash,2024-06-24,2024-06-24,1,Abia,6,6
IBD030092,Mining Pit Collapse,2024-06-24,2024-06-24,1,Bauchi,6,6
IBD030093,Auto Crash,2024-06-24,2024-06-24,7,Ogun,6,6
IBD030083,Auto Crash,2024-06-24,2024-06-24,7,Abia,6,6
IBD030376,Kidnap Victim,2024-06-24,2024-06-24,1,Edo,6,6
IBD030095,Auto Crash,2024-06-24,2024-06-24,2,Ogun,6,6
IBD030140,Siblings Kill Man,2024-06-23,2024-06-23,1,Oyo,6,6
IBD030073,Naval School Student,2024-06-23,2024-06-23,1,Kaduna,6,6
IBD030097,Police Vs Fun Seeker,2024-06-23,2024-06-23,1,Enugu,6,6
IBD030078,Electrocution,2024-06-23,2024-06-23,1,Lagos,6,6
IBD030100,Communal Clash,2024-06-23,2024-06-23,1,Osun,6,6
IBD030081,Banditary,2024-06-23,2024-06-23,5,Kaduna,6,6
IBD030080,Gunmen Kill 6,2024-06-23,2024-06-23,3,Benue,6,6
IBD030067,Armed Robbery,2024-06-22,2024-06-22,1,Abuja,6,6
IBD030071,Banditry,2024-06-22,2024-06-22,8,Katsina,6,6
IBD030063,Naval Officer Vs Police Inspector,2024-06-22,2024-06-22,1,Lagos,6,6
IBD030068,Electrocution,2024-06-22,2024-06-22,1,Benue,6,6
IBD030075,Police Vs Kidnapper,2024-06-22,2024-06-22,1,Akwa Ibom,6,6
IBD030160,Extra Judicial Killing,2024-06-21,2024-06-21,1,Abuja,6,6
IBD030060,Army Vs Bandit,2024-06-21,2024-06-21,30,Kaduna,6,6
IBD030072,Assailants Vs Man,2024-06-21,2024-06-21,1,Lagos,6,6
IBD030528,Police Vs Man,2024-06-21,2024-06-21,1,Lagos,6,6
IBD030069,Cult Killing,2024-06-20,2024-06-20,1,Edo,6,6
IBD030070,Boat Mishap,2024-06-20,2024-06-20,2,Niger,6,6
IBD030049,Gunmen Kill Man,2024-06-20,2024-06-20,1,Ekiti,6,6
IBD030055,Auto Crash,2024-06-20,2024-06-20,3,Abuja,6,6
IBD030056,Police Vs Kidnapper,2024-06-20,2024-06-20,1,Delta,6,6
IBD030074,Boat Mishap,2024-06-20,2024-06-20,2,Niger,6,6
IBD030054,Soldier Vs Man,2024-06-20,2024-06-20,1,Abuja,6,6
IBD030050,Gunmen Kill Hawker,2024-06-20,2024-06-20,1,Ekiti,6,6
IBD030058,Boko Haram,2024-06-20,2024-06-20,1,Borno,6,6
IBD030079,Banditry,2024-06-20,2024-06-20,1,Kaduna,6,6
IBD030057,Assailant Vs Mechanic,2024-06-20,2024-06-20,1,Abuja,6,6
IBD030061,Soldiers Kill Kidnapper,2024-06-20,2024-06-20,1,Kogi,6,6
IBD030062,Gunmen Kill 1,2024-06-19,2024-06-19,2,Ekiti,6,6
IBD030059,Flood Disaster,2024-06-19,2024-06-19,1,Kaduna,6,6
IBD030052,Medical Negligence,2024-06-19,2024-06-19,1,Ogun,6,6
IBD030047,Mob Vs Man,2024-06-19,2024-06-19,1,Bauchi,6,6
IBD030053,Hoodlums Vs Vigilantes,2024-06-19,2024-06-19,1,Niger,6,6
IBD030041,Gunmen Attack,2024-06-18,2024-06-18,6,Benue,6,6
IBD030032,Political Violence,2024-06-18,2024-06-18,2,Rivers,6,6
IBD030033,Auto Crash,2024-06-18,2024-06-18,3,Abuja,6,6
IBD030044,Vigilante Leader,2024-06-18,2024-06-18,1,Kano,6,6
IBD030090,Auto Crash,2024-06-18,2024-06-18,2,Ogun,6,6
IBD030029,Task Force Vs Trader,2024-06-18,2024-06-18,1,Plateau,6,6
IBD030040,Auto Crash,2024-06-18,2024-06-18,2,Ogun,6,6
IBD030086,Medical Quackery,2024-06-18,2024-06-18,1,Ogun,6,6
IBD030043,Electrocution,2024-06-18,2024-06-18,1,Kwara,6,6
IBD030028,Banditry,2024-06-18,2024-06-18,6,Kaduna,6,6
IBD030034,Cult Killing Political Violence,2024-06-18,2024-06-18,1,Rivers,6,6
IBD030030,Gunmen Kill Ticketer,2024-06-18,2024-06-18,1,Ekiti,6,6
IBD030151,Assailant Vs Woman,2024-06-17,2024-06-17,1,Edo,6,6
IBD030036,Mob Vs Man,2024-06-17,2024-06-17,2,Taraba,6,6
IBD029980,Army Vs Boko Haram,2024-06-17,2024-06-17,1,Borno,6,6
IBD030027,Gunmen Attack,2024-06-17,2024-06-17,3,Anambra,6,6
IBD030005,Gunmen Vs Fishermen,2024-06-17,2024-06-17,4,Anambra,6,6
IBD030024,Gunmen Attack,2024-06-17,2024-06-17,2,Anambra,6,6
IBD030088,Auto Crash,2024-06-17,2024-06-17,7,Ogun,6,6
IBD030039,Security Operatives Vs Man,2024-06-16,2024-06-16,1,Delta,6,6
IBD030014,Auto Crash,2024-06-16,2024-06-16,2,Ogun,6,6
IBD030011,Gunmen Attack,2024-06-16,2024-06-16,6,Sokoto,6,6
IBD030022,Man Vs Wife,2024-06-16,2024-06-16,1,Ogun,6,6
IBD030026,Gunmen Vs Businesswoman,2024-06-16,2024-06-16,1,Oyo,6,6
IBD030025,Herders Attack,2024-06-16,2024-06-16,14,Taraba,6,6
IBD030023,Men Vs Lady,2024-06-16,2024-06-16,1,Abuja,6,6
IBD030017,Auto Crash,2024-06-16,2024-06-16,3,Osun,6,6
IBD030730,Flooding,2024-06-16,2024-06-22,23,Kano,6,6
IBD030021,Naf Vs Bandits,2024-06-15,2024-06-15,87,Katsina,6,6
IBD030015,Robbers Vs Dj,2024-06-15,2024-06-15,1,Abuja,6,6
IBD030019,Police Vs Kidnapper,2024-06-15,2024-06-15,1,Edo,6,6
IBD030020,Soldiers Vs Bandit,2024-06-15,2024-06-15,3,Kaduna,6,6
IBD030142,Inferno,2024-06-15,2024-06-15,5,Kano,6,6
IBD030016,Man Vs Daughter,2024-06-15,2024-06-15,1,Delta,6,6
IBD030051,Banditry,2024-06-15,2024-06-15,4,Kaduna,6,6
IBD030045,Bandits Kills Man,2024-06-15,2024-06-15,1,Kaduna,6,6
IBD030048,Assailants Vs Journalist,2024-06-14,2024-06-14,1,Abuja,6,6
IBD030010,Herders Vs Guards,2024-06-14,2024-06-14,2,Benue,6,6
IBD030007,Man Vs Mother,2024-06-14,2024-06-14,1,Ondo,6,6
IBD030064,Gunmen Vs Man,2024-06-14,2024-06-14,1,Ekiti,6,6
IBD030046,Kidnap Victim,2024-06-13,2024-06-13,1,Benue,6,6
IBD029995,Banditry,2024-06-13,2024-06-13,36,Kaduna,6,6
IBD030035,Assailant Vs Graduate,2024-06-13,2024-06-13,1,Edo,6,6
IBD030013,Found Dead,2024-06-13,2024-06-13,2,Ondo,6,6
IBD030031,Security Guard,2024-06-13,2024-06-13,1,Lagos,6,6
IBD030037,Assailants Vs Security Guard,2024-06-13,2024-06-13,1,Lagos,6,6
IBD030012,Assailants Vs Man,2024-06-13,2024-06-13,1,Oyo,6,6
IBD030002,Bank Robbers,2024-06-13,2024-06-13,3,Abuja,6,6
IBD030004,Auto Crash,2024-06-13,2024-06-13,19,Kwara,6,6
IBD030000,Police Inspector Vs Man,2024-06-13,2024-06-13,1,Kebbi,6,6
IBD029999,Landslide,2024-06-13,2024-06-13,3,Niger,6,6
IBD030008,Police Vs Bandits,2024-06-13,2024-06-13,1,Abuja,6,6
IBD030003,Army Vs Bandits,2024-06-13,2024-06-13,6,Kaduna,6,6
IBD030082,Motorcyclist Vs Guard,2024-06-13,2024-06-13,1,Lagos,6,6
IBD030006,Man Drowns,2024-06-12,2024-06-12,1,Ogun,6,6
IBD029990,Boko Haram Attack,2024-06-12,2024-06-12,3,Niger,6,6
IBD029922,Car Snatcher,2024-06-12,2024-06-12,2,Lagos,6,6
IBD029989,Police Vs Ipob Esn,2024-06-12,2024-06-12,2,Enugu,6,6
IBD029996,Farmers Vs Herders,2024-06-12,2024-06-12,3,Niger,6,6
IBD029992,Building Collapse,2024-06-12,2024-06-12,2,Anambra,6,6
IBD029962,Suspected Kidnapper,2024-06-11,2024-06-11,1,Benue,6,6
IBD029988,Naf Airstrikes,2024-06-11,2024-06-11,29,Katsina,6,6
IBD029974,Windstorm,2024-06-11,2024-06-11,1,Kebbi,6,6
IBD029997,Armed Robbers Vs Rider Manager,2024-06-11,2024-06-11,1,Bayelsa,6,6
IBD029972,Windstorm,2024-06-11,2024-06-11,4,Kebbi,6,6
IBD029983,Banditry,2024-06-11,2024-06-11,1,Kaduna,6,6
IBD029982,Security Guard Vs Man,2024-06-11,2024-06-11,1,Ogun,6,6
IBD029975,Gunmen Attack,2024-06-11,2024-06-11,3,Imo,6,6
IBD029985,Auto Crash,2024-06-11,2024-06-11,4,Enugu,6,6
IBD029960,Banditry,2024-06-10,2024-06-10,2,Kaduna,6,6
IBD029987,Banditry,2024-06-10,2024-06-10,1,Zamfara,6,6
IBD029970,Mob Vs Tricycle Thief,2024-06-10,2024-06-10,1,Akwa Ibom,6,6
IBD029964,Banditry,2024-06-10,2024-06-10,28,Katsina,6,6
IBD029998,Gunmen Attack,2024-06-10,2024-06-10,1,Delta,6,6
IBD029971,Auto Crash,2024-06-10,2024-06-10,4,Bayelsa,6,6
IBD029966,Soldiers Vs Bandit,2024-06-10,2024-06-10,1,Niger,6,6
IBD029984,Gunmen Attack,2024-06-10,2024-06-10,50,Katsina,6,6
IBD029986,Army Vs Terrorist,2024-06-10,2024-06-10,2,Zamfara,6,6
IBD030281,Graduate,2024-06-09,2024-06-09,1,Anambra,6,6
IBD029977,Corpse Found,2024-06-09,2024-06-09,2,Niger,6,6
IBD030018,Assailant Vs Bussinessman,2024-06-09,2024-06-09,1,Lagos,6,6
IBD029965,Soldiers Vs Drivers,2024-06-09,2024-06-09,1,Kwara,6,6
IBD030210,Brother Vs Dad,2024-06-09,2024-06-09,1,Adamawa,6,6
IBD029991,Vigilante Vs Kidnapper,2024-06-09,2024-06-09,1,Edo,6,6
IBD029967,Terrorists Attack,2024-06-09,2024-06-10,65,Katsina,6,6
IBD029953,Troops Vs Banditry,2024-06-09,2024-06-09,5,Kaduna,6,6
IBD029952,Army Vs Ipob,2024-06-08,2024-06-08,6,Abia,6,6
IBD029976,Banditry,2024-06-08,2024-06-08,2,Zamfara,6,6
IBD029954,Flooding,2024-06-08,2024-06-08,2,Niger,6,6
IBD029955,Banditry,2024-06-08,2024-06-08,2,Kaduna,6,6
IBD029958,Building Collapse,2024-06-08,2024-06-08,5,Abia,6,6
IBD030009,Police Vs Kidnapper,2024-06-08,2024-06-08,1,Kogi,6,6
IBD029956,Security Operatives Vs Kidnapper,2024-06-08,2024-06-08,1,Edo,6,6
IBD029973,Auto Crash,2024-06-07,2024-06-07,4,Lagos,6,6
IBD029950,Police Vs Bandits,2024-06-07,2024-06-07,3,Katsina,6,6
IBD029959,Undergraduate Student,2024-06-07,2024-06-07,1,Akwa Ibom,6,6
IBD029949,Boundary Clash,2024-06-07,2024-06-07,1,Abia,6,6
IBD029947,Gunmen Vs Politician,2024-06-07,2024-06-07,1,Enugu,6,6
IBD029951,Banditry,2024-06-06,2024-06-06,5,Katsina,6,6
IBD029939,Banditry,2024-06-06,2024-06-06,12,Zamfara,6,6
IBD030038,Ritual Killings,2024-06-06,2024-06-19,10,Ondo,6,6
IBD029946,Electrocution,2024-06-06,2024-06-06,1,Rivers,6,6
IBD030042,Assailants Vs Security Guard,2024-06-06,2024-06-06,1,Lagos,6,6
IBD029937,Construction Workers Drown,2024-06-06,2024-06-06,2,Osun,6,6
IBD030553,Assailants Vs Man,2024-06-06,2024-06-06,1,Lagos,6,6
IBD029938,Woman Dies,2024-06-06,2024-06-06,1,Abuja,6,6
IBD030148,Man Kill Farmer,2024-06-06,2024-06-06,1,Ondo,6,6
IBD029944,Boko Haram Attack,2024-06-06,2024-06-06,12,Niger,6,6
IBD029948,Hunters Vs Teenager,2024-06-05,2024-06-05,1,Adamawa,6,6
IBD030932,Iswap Attack,2024-06-05,2024-06-05,1,Yobe,6,6
IBD029945,Boko Haram Vs Passengers,2024-06-05,2024-06-05,3,Borno,6,6
IBD031334,Kidnap Victim,2024-06-05,2024-06-05,1,Rivers,6,6
IBD029929,Police Vs Kidnappers,2024-06-04,2024-06-04,2,Plateau,6,6
IBD029934,Auto Crash,2024-06-04,2024-06-04,1,Ebonyi,6,6
IBD029979,Auto Crash,2024-06-04,2024-06-04,2,Anambra,6,6
